                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5565,                 4.8073,                 2.4053,                0.00098,                0.24242,                0.00383,                0.00151,                 2.0492,                 3.9919,                  2.003,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.6348,                 4.9718,                 2.6553,                0.00095,                0.24242,                0.01566,                0.00686,                 2.1537,                 4.0188,                 2.0912,             7.1273e-05,             7.1273e-05,             7.1273e-05
                      3,                 2.3292,                 5.0748,                 2.2345,                 0.0014,                0.33939,                0.06148,                0.02222,                 1.6858,                 3.9062,                  1.757,             0.00011375,             0.00011375,             0.00011375
                      4,                 1.7995,                 4.5445,                 1.8023,                0.00261,                0.47273,                0.11767,                0.02982,                 1.2816,                 3.8072,                 1.4476,             0.00015602,             0.00015602,             0.00015602
                      5,                 1.5384,                 3.9453,                  1.513,                0.00351,                0.87576,                0.29049,                0.16246,                 1.1035,                 3.6124,                 1.3094,             0.00019808,             0.00019808,             0.00019808
                      6,                 1.2698,                 2.9707,                 1.3218,                0.00331,                0.87879,                0.33732,                0.17525,                 1.2194,                 3.5189,                 1.3406,             0.00023992,             0.00023992,             0.00023992
                      7,                 1.1918,                 2.6688,                 1.2468,                0.00339,                0.90606,                0.35452,                0.23063,                 1.2692,                  3.322,                 1.3282,             0.00028156,             0.00028156,             0.00028156
                      8,                 1.1241,                 2.8462,                 1.2316,                0.00333,                0.93939,                0.40435,                0.25807,                 1.1811,                  3.326,                 1.2886,             0.00032298,             0.00032298,             0.00032298
                      9,                 1.1795,                 2.4963,                 1.2192,                0.00289,                0.90606,                0.36339,                0.23605,                 1.2227,                 3.3312,                 1.3545,             0.00036418,             0.00036418,             0.00036418
                     10,                 1.1632,                 2.5582,                   1.19,                 0.0028,                0.90606,                 0.3185,                0.16967,                 1.4281,                 3.4307,                 1.4614,             0.00040518,             0.00040518,             0.00040518
                     11,                  1.094,                  2.752,                  1.257,                0.00276,                0.90303,                0.24716,                0.12886,                 1.6356,                 3.6153,                 1.5561,             0.00044596,             0.00044596,             0.00044596
                     12,                 1.2862,                 2.4834,                 1.2162,                0.00298,                0.93333,                0.36043,                0.19995,                 1.3906,                 3.4601,                 1.5369,             0.00048653,             0.00048653,             0.00048653
                     13,                 1.1434,                 2.3499,                 1.0678,                0.00377,                0.96667,                0.60578,                0.33402,                 1.2607,                 3.2008,                 1.3155,             0.00052689,             0.00052689,             0.00052689
                     14,                 1.2724,                 2.1463,                 1.2215,                0.00438,                0.96667,                0.60913,                0.38813,                 1.2628,                 3.1943,                  1.285,             0.00056704,             0.00056704,             0.00056704
                     15,                 1.3113,                 2.3583,                 1.1894,                0.00423,                0.96667,                0.41978,                0.19206,                 1.4805,                 3.2688,                 1.4231,             0.00060697,             0.00060697,             0.00060697
                     16,                 1.0957,                 2.0947,                 1.1453,                0.00367,                0.93333,                0.33659,                0.17059,                 1.4064,                  3.275,                 1.4034,              0.0006467,              0.0006467,              0.0006467
                     17,                 1.2141,                 2.6416,                 1.1729,                      1,                0.08798,                0.40041,                0.19354,                 1.5523,                 3.1225,                 1.5375,             0.00068621,             0.00068621,             0.00068621
                     18,                 1.2074,                 2.3801,                 1.1728,                0.92249,                0.20087,                0.45035,                0.25381,                  1.497,                 2.7404,                 1.5523,              0.0007255,              0.0007255,              0.0007255
                     19,                 1.2371,                 2.2474,                 1.1997,                0.71976,                0.26255,                0.47755,                0.27493,                 1.3525,                  2.443,                 1.4455,             0.00076459,             0.00076459,             0.00076459
                     20,                 1.1816,                 2.3844,                 1.2216,                0.88987,                0.40927,                0.51896,                0.31883,                 1.3326,                 2.3293,                 1.4151,             0.00080346,             0.00080346,             0.00080346
                     21,                 1.1535,                 2.2971,                 1.1215,                0.90606,                0.40777,                0.53756,                0.32325,                 1.3274,                 2.4363,                 1.3563,             0.00084212,             0.00084212,             0.00084212
                     22,                  1.105,                 2.3072,                 1.1712,                  0.916,                0.37018,                0.53742,                0.33869,                 1.2162,                  2.571,                 1.2026,             0.00088057,             0.00088057,             0.00088057
                     23,                 1.2302,                 2.2416,                 1.1912,                0.89141,                0.44545,                0.54753,                0.37518,                 1.0961,                 2.5654,                 1.1666,             0.00091881,             0.00091881,             0.00091881
                     24,                 1.0622,                 2.1532,                   1.17,                0.82509,                0.41913,                0.53268,                0.33995,                 1.1423,                  2.579,                 1.1967,             0.00095683,             0.00095683,             0.00095683
                     25,                 1.1228,                 2.5759,                 1.1923,                0.77177,                0.44795,                0.49719,                0.31339,                 1.2063,                  2.527,                 1.2914,             0.00099465,             0.00099465,             0.00099465
                     26,                0.98832,                 2.1414,                 1.1073,                0.80128,                0.37643,                0.43522,                0.25825,                 1.4027,                 2.5999,                 1.3808,              0.0010322,              0.0010322,              0.0010322
                     27,                 1.2887,                 2.1482,                 1.2539,                0.70238,                0.37879,                0.37783,                 0.1961,                 1.5125,                 2.9002,                 1.4174,              0.0010696,              0.0010696,              0.0010696
                     28,                 1.1419,                 2.1524,                 1.1729,                0.83979,                0.28182,                0.42228,                0.20733,                 1.6158,                 2.8295,                 1.5431,              0.0011068,              0.0011068,              0.0011068
                     29,                 1.1706,                 2.0958,                  1.229,                0.83979,                0.28182,                0.42228,                0.20733,                 1.6158,                 2.8295,                 1.5431,              0.0011438,              0.0011438,              0.0011438
                     30,                0.97746,                 1.7352,                 1.1159,                0.76963,                  0.334,                0.43791,                0.21987,                 1.6381,                 2.7728,                 1.6044,              0.0011805,              0.0011805,              0.0011805
                     31,                 1.0924,                 1.9232,                 1.2792,                0.78903,                0.15758,                0.31845,                0.14397,                 1.6621,                 3.0622,                 1.7181,              0.0012171,              0.0012171,              0.0012171
                     32,                 1.1251,                  1.827,                 1.0939,                 0.5919,                0.19091,                0.26815,                0.10758,                  1.695,                 3.2432,                 1.7247,              0.0012534,              0.0012534,              0.0012534
                     33,                 1.0048,                 1.7011,                  1.091,                 0.5919,                0.19091,                0.26815,                0.10758,                  1.695,                 3.2432,                 1.7247,              0.0012895,              0.0012895,              0.0012895
                     34,                 1.2371,                 2.1715,                 1.2756,                0.72202,                0.18997,                0.21605,                0.08403,                 1.8103,                 3.2272,                 1.7624,              0.0013123,              0.0013123,              0.0013123
                     35,                  1.007,                 1.8675,                 1.1046,                0.73187,                0.30284,                0.27087,                0.11812,                 1.7135,                 2.9356,                 1.6571,              0.0013087,              0.0013087,              0.0013087
                     36,                 1.1571,                 1.9404,                 1.2075,                0.47193,                0.24848,                0.19395,                 0.0832,                 1.6753,                 3.1236,                  1.474,              0.0013052,              0.0013052,              0.0013052
                     37,                 1.0856,                 1.9922,                 1.1453,                0.47193,                0.24848,                0.19395,                 0.0832,                 1.6753,                 3.1236,                  1.474,              0.0013017,              0.0013017,              0.0013017
                     38,                 1.1099,                 1.7979,                 1.1418,                0.58411,                0.35544,                0.30206,                0.17019,                 1.5181,                 2.8272,                 1.3633,              0.0012981,              0.0012981,              0.0012981
                     39,                 1.0156,                  1.496,                 1.0687,                0.78823,                0.32816,                0.39367,                0.20708,                 1.3445,                 2.6928,                 1.3469,              0.0012946,              0.0012946,              0.0012946
                     40,                 1.2321,                 1.9628,                 1.2295,                0.79311,                0.49159,                0.48295,                0.27447,                 1.1343,                 2.6294,                 1.1961,              0.0012911,              0.0012911,              0.0012911
                     41,                 1.0078,                 1.7926,                 1.1207,                0.79311,                0.49159,                0.48295,                0.27447,                 1.1343,                 2.6294,                 1.1961,              0.0012875,              0.0012875,              0.0012875
                     42,                 1.0333,                 1.9517,                 1.1787,                0.85605,                0.41212,                0.48194,                0.33549,                 1.1848,                 2.2267,                 1.1693,               0.001284,               0.001284,               0.001284
                     43,                0.93733,                 1.7287,                 1.1443,                0.83815,                 0.4283,                0.51868,                0.35376,                 1.3026,                 2.1321,                 1.2294,              0.0012805,              0.0012805,              0.0012805
                     44,                0.90402,                 1.7856,                  1.005,                0.84347,                 0.4805,                0.54728,                0.37168,                 1.3738,                 2.1847,                 1.3575,              0.0012769,              0.0012769,              0.0012769
                     45,                 1.0496,                 1.8541,                 1.1475,                0.84347,                 0.4805,                0.54728,                0.37168,                 1.3738,                 2.1847,                 1.3575,              0.0012734,              0.0012734,              0.0012734
                     46,                 1.0774,                 1.6832,                 1.1983,                0.79318,                0.53632,                0.53121,                0.34822,                 1.3163,                  1.999,                  1.294,              0.0012698,              0.0012698,              0.0012698
                     47,                 0.8508,                 1.4429,                 1.0524,                0.85402,                 0.4975,                0.54815,                0.32426,                 1.4255,                 2.0922,                  1.303,              0.0012663,              0.0012663,              0.0012663
                     48,                0.84991,                 1.6992,                 1.0711,                0.93606,                0.45341,                0.55142,                0.31085,                 1.3957,                 2.1886,                 1.4098,              0.0012628,              0.0012628,              0.0012628
                     49,                 1.1338,                  1.958,                 1.2173,                0.93606,                0.45341,                0.55142,                0.31085,                 1.3957,                 2.1886,                 1.4098,              0.0012592,              0.0012592,              0.0012592
                     50,                 1.0324,                 1.5894,                 1.2398,                0.91557,                0.49336,                0.59259,                0.35711,                 1.2586,                 2.0628,                 1.4446,              0.0012557,              0.0012557,              0.0012557
                     51,                 1.0172,                 1.9197,                 1.2171,                0.96247,                0.42448,                0.52892,                0.31009,                 1.3318,                 2.3731,                 1.4569,              0.0012522,              0.0012522,              0.0012522
                     52,                 0.9285,                 1.5579,                 1.0826,                 0.7982,                0.40805,                0.49394,                 0.2732,                 1.4044,                 2.6274,                   1.38,              0.0012486,              0.0012486,              0.0012486
                     53,                0.94705,                 1.6535,                 1.1158,                 0.7982,                0.40805,                0.49394,                 0.2732,                 1.4044,                 2.6274,                   1.38,              0.0012451,              0.0012451,              0.0012451
                     54,                 1.0572,                 1.5178,                 1.1892,                0.87075,                0.41825,                0.52653,                0.29015,                 1.2525,                 2.2893,                 1.2798,              0.0012416,              0.0012416,              0.0012416
                     55,                0.94329,                 1.5708,                 1.1112,                0.89371,                0.47407,                0.53708,                0.31557,                 1.2239,                 2.1179,                 1.2687,               0.001238,               0.001238,               0.001238
                     56,                0.97499,                 1.4274,                 1.0793,                0.87695,                0.51144,                0.57396,                0.32718,                 1.2173,                 2.4453,                  1.377,              0.0012345,              0.0012345,              0.0012345
