                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5565,                 4.8073,                 2.4053,                0.00098,                0.24242,                0.00383,                0.00151,                 2.0492,                 3.9919,                  2.003,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.6348,                 4.9718,                 2.6553,                0.00096,                0.24242,                 0.0079,                0.00467,                 2.1086,                 4.0171,                  2.066,             4.7872e-05,             4.7872e-05,             4.7872e-05
                      3,                 2.3429,                   4.98,                 2.2535,                0.00119,                0.30303,                0.02847,                0.01292,                 2.0631,                 3.9718,                 2.0014,             3.8869e-05,             3.8869e-05,             3.8869e-05
