                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0314,                 1.7618,                 1.1671,                0.23265,                0.32712,                0.20951,                0.12647,                 1.8077,                 3.9013,                 1.5771,              0.0011956,              0.0011956,              0.0011956
                     35,                 1.0008,                 1.5427,                  1.126,                0.27038,                 0.2516,                0.16341,                 0.0896,                  1.792,                  3.744,                 1.6251,              0.0011885,              0.0011885,              0.0011885
                     36,                 1.0217,                 1.9142,                 1.1619,                0.21199,                0.26202,                0.19934,                0.11452,                 1.8305,                 4.0269,                 1.6645,              0.0011814,              0.0011814,              0.0011814
                     37,                 1.0956,                 1.6613,                 1.2327,                0.20066,                0.30369,                0.20081,                0.12385,                 1.8234,                 4.5636,                 1.6892,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.1005,                 1.8146,                 1.1781,                0.16443,                0.29647,                0.13647,                0.07254,                  1.872,                 4.4422,                 1.7514,              0.0011673,              0.0011673,              0.0011673
                     39,                 1.1643,                 1.7794,                 1.2043,                0.16436,                0.26843,                0.10058,                0.05336,                 1.8969,                 4.2171,                 1.7821,              0.0011602,              0.0011602,              0.0011602
                     40,                0.98289,                 1.4597,                  1.136,                0.10539,                0.15558,                0.09351,                0.05193,                 1.9408,                 4.2362,                 1.8367,              0.0011531,              0.0011531,              0.0011531
                     41,                 1.0581,                 1.5498,                 1.1751,                0.08629,                0.09054,                0.11647,                0.06317,                 2.0922,                 4.2016,                 1.9759,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.0962,                 1.6718,                 1.1802,                0.09236,                0.09054,                0.10896,                0.05791,                 2.1287,                 4.3228,                 2.0285,               0.001139,               0.001139,               0.001139
                     43,                0.99516,                  1.621,                  1.158,                0.16773,                0.13622,                0.10105,                0.05063,                 2.0397,                 4.5622,                  2.013,              0.0011319,              0.0011319,              0.0011319
                     44,                0.99473,                 1.5454,                 1.1452,                0.11447,                 0.1258,                0.07412,                0.03378,                 1.9938,                 4.5434,                 1.9297,              0.0011248,              0.0011248,              0.0011248
                     45,                 1.0223,                 1.6596,                 1.1822,                0.11667,                0.14663,                0.08845,                0.03946,                 2.0544,                 4.0908,                 1.8786,              0.0011178,              0.0011178,              0.0011178
                     46,                0.96197,                 1.5233,                 1.1741,                0.55693,                0.24397,                0.18667,                0.08768,                 1.9722,                 3.5833,                 1.8031,              0.0011107,              0.0011107,              0.0011107
